ToolingStock,ToolingType,ToolingSize,Description,ControlLimit,SpecLimit,StoreID,ToolingQty,UTLSite,ActiveFlag,UpdateBy,CreateBy,UpdateTime,CreateTime,Remark,EquipModel,PartNo
,,4.5x3.5,CB_CSD97396Q4M,4999000,5000000,1,0,UTL1,FALSE,,PE ULT1,00:19.8,00:19.8,,,
AB000001,ANVILBLOCK,20,aaaaa,150000,200000,123,1,UTL1,FALSE,,,26:55.2,42:52.7,,,
AB000002,ANVILBLOCK,30,test1111,1500000,2000000,11,1,UTL1,FALSE,,,26:55.4,32:12.8,,,
AB000003,ANVILBLOCK,6x4,FR5076,0,0,47085012,1,UTL1,FALSE,,,04:07.7,04:07.7,,,
AB000004,ANVILBLOCK,6x4 mm,FR5076,1,1,5076,3,UTL1,FALSE,,,04:06.3,16:15.0,,,
AB000005,ANVILBLOCK,5x6 mm,FR5077,1,1,5077,9,UTL1,FALSE,,,03:55.1,16:55.3,,,
AB000006,ANVILBLOCK,6x5 mm,FR5078,1,1,5078,4,UTL1,FALSE,,,04:14.6,17:23.6,,,
AB000007,ANVILBLOCK,5x4 mm,FR5079,1,1,5079,0,UTL1,FALSE,PE ULT1,,01:02.1,18:05.1,,,
AB000008,ANVILBLOCK,5x5 mm,FR5110,1,1,5110,4,UTL1,FALSE,PE ULT1,,01:08.5,09:01.0,,,
AB000009,ANVILBLOCK,4.5x3.5 mm,FR5148,1,1,5148,0,UTL1,FALSE,,PE ULT1,02:51.0,02:51.0,,,
AB000010,ANVILBLOCK,4.5x3.5 mm,FR5155,1,1,5155,0,UTL1,FALSE,,PE ULT1,04:42.1,04:42.1,,,
AB000011,ANVILBLOCK,5x6 41L,AD8312FC,4999000,5000000,FR5077,64,UTL1,TRUE,PE UTL1,PE ULT1,18:37.1,55:08.8,,,
AB000012,ANVILBLOCK,5x6 41L,CB830 Bond,4999000,5000000,FR5077,98,UTL1,TRUE,PE UTL1,PE ULT1,18:52.7,57:33.5,,,
AB000013,ANVILBLOCK,5x6 41L,AD832i Bond,4999000,5000000,FR5077,51,UTL1,TRUE,PE UTL1,PE ULT1,19:06.1,58:37.0,,,
AB000014,ANVILBLOCK,6x5 12L,AD8312FC,4999000,5000000,FR5078,26,UTL1,TRUE,PE UTL1,PE ULT1,22:40.2,34:59.4,,,
AB000015,ANVILBLOCK,6x5 12L,AD832i Bond,4999000,5000000,FR5078,33,UTL1,TRUE,PE UTL1,PE ULT1,22:59.0,36:13.9,,,
AB000016,ANVILBLOCK,6x5 12L,CB830 Bond,4999000,5000000,FR5078,56,UTL1,TRUE,PE UTL1,PE ULT1,23:12.0,48:23.0,,,
AB000017,ANVILBLOCK,5x4 18L,AD8312FC,4999000,5000000,FR5079,25,UTL1,TRUE,PE UTL1,PE ULT1,38:19.1,30:59.5,,,
AB000018,ANVILBLOCK,5x4 18L,CB_Bond,4999000,5000000,FR5079,44,UTL1,TRUE,PE UTL1,PE ULT1,43:38.8,31:32.1,,,
AB000019,ANVILBLOCK,5x4 18L,AD832i_Bond,4999000,5000000,FR5079,20,UTL1,TRUE,PE UTL1,PE ULT1,43:53.6,32:21.5,,,
AB000020,ANVILBLOCK,6x4 36L,AD8312FC,4999000,5000000,FR5076,12,UTL1,TRUE,PE UTL1,PE ULT1,20:13.5,36:23.9,,,
AB000021,ANVILBLOCK,6x4 36L,CB830 Bond,4999000,5000000,FR5076,15,UTL1,TRUE,PE UTL1,PE ULT1,20:25.4,37:09.9,,,
AB000022,ANVILBLOCK,6x4 36L,AD838 Bond,4999000,5000000,FR5076,8,UTL1,TRUE,PE UTL1,PE ULT1,20:33.4,37:40.3,,,
AB000023,ANVILBLOCK,5x5 31L,AD8312FC,4999000,5000000,FR5157/FR1560,149,UTL1,TRUE,PE UTL1,PE ULT1,54:45.8,07:19.6,,,
AB000024,ANVILBLOCK,5x5 31L,CB_Bond,4999000,5000000,FR5157/FR1560,144,UTL1,TRUE,PE UTL1,PE ULT1,03:36.6,08:29.9,,,
AB000025,ANVILBLOCK,5x5 31L,AD838_Bond,4999000,5000000,FR5157/FR1560,121,UTL1,TRUE,PE UTL1,PE ULT1,03:46.6,08:56.4,,,
AB000026,ANVILBLOCK,4.5x3.5,FC_Bond,4999000,5000000,FR5148,6,UTL1,TRUE,PE UTL1,PE ULT1,15:18.1,31:08.1,,,
AB000027,ANVILBLOCK,4.5x3.5,CB_Bond,4999000,5000000,FR5148,11,UTL1,TRUE,PE UTL1,PE ULT1,45:07.3,31:46.3,,,
AB000028,ANVILBLOCK,4.5x3.5,AD832i_Bond,4999000,5000000,FR5148,5,UTL1,TRUE,PE UTL1,PE ULT1,45:49.7,32:28.2,,,
AB000029,ANVILBLOCK,3.5x4.5,AD8312FC,4999000,5000000,FR5154,32,UTL1,TRUE,PE UTL1,PE ULT1,50:07.4,46:41.0,,,
AB000030,ANVILBLOCK,3.5x4.5,CB830_Bond,4999000,5000000,FR5154,60,UTL1,TRUE,PE UTL1,PE ULT1,51:23.5,47:11.8,,,
AB000031,ANVILBLOCK,3.5x4.5,AD832i_Bond,4999000,5000000,FR5154,27,UTL1,TRUE,PE UTL1,PE ULT1,51:53.7,50:01.5,,,
AB000032,ANVILBLOCK,4.5x3.5,FC_Bond,4999000,5000000,FR5155,8,UTL1,TRUE,PE UTL1,PE ULT1,07:25.8,59:55.2,,,
AB000033,ANVILBLOCK,4.5x3.5,AD832i_Bond,4999000,5000000,FR5155,9,UTL1,TRUE,PE UTL1,PE ULT1,07:59.2,00:47.1,,,
AB000034,ANVILBLOCK,4.5x3.5,CB_Bond,4999000,5000000,FR5155,14,UTL1,TRUE,PE UTL1,PE ULT1,08:20.2,01:23.3,,,
AB000035,ANVILBLOCK,5x7 40L,AD8312FC,4999000,5000000,FR5175/FR5176,14,UTL1,TRUE,PE UTL1,PE ULT1,06:44.3,13:21.2,,,
AB000036,ANVILBLOCK,5x7 40L,CB830_Bond,4999000,5000000,FR5175/FR5176,24,UTL1,TRUE,PE UTL1,PE ULT1,07:00.0,13:41.4,,,
AB000037,ANVILBLOCK,5x7 40L,AD832i_Bond,4999000,5000000,FR5175/FR5176,16,UTL1,TRUE,PE UTL1,PE ULT1,07:14.0,14:07.0,,,
AB000038,ANVILBLOCK,5x6 39L,AD8312FC,4999000,5000000,FR5202/FR5210,56,UTL1,TRUE,PE UTL1,PE ULT1,19:18.7,09:03.0,,,
AB000039,ANVILBLOCK,5x6 39L,AD832i_BOND,4999000,5000000,FR5202/FR5210,54,UTL1,TRUE,PE UTL1,PE ULT1,19:33.3,11:45.3,,,
AB000040,ANVILBLOCK,5x6 39L,CB830_BOND,4999000,5000000,FR5202/FR5210,57,UTL1,TRUE,PE UTL1,PE ULT1,19:46.4,13:00.8,,,
AB000041,ANVILBLOCK,5x5 32L,AD8312FC,4999000,5000000,FR5209,42,UTL1,TRUE,PE UTL1,PE ULT1,36:15.2,13:49.4,,,
AB000042,ANVILBLOCK,5x5 32L,AD832i_Bond,4999000,5000000,FR5209,46,UTL1,TRUE,PE UTL1,PE ULT1,36:26.8,15:02.5,,,
AB000043,ANVILBLOCK,5x5 32L,CB_Bond,4999000,5000000,FR5209,38,UTL1,TRUE,PE UTL1,PE ULT1,36:40.6,15:52.1,,,
AB000044,ANVILBLOCK,5X4,AD8312FC,4999000,5000000,FR5205,1,UTL1,TRUE,PE UTL1,PE ULT1,01:57.0,00:29.8,,,
AB000045,ANVILBLOCK,5X4,AD832i_Bond,4999000,5000000,FR5205,3,UTL1,TRUE,PE UTL1,PE ULT1,02:30.5,01:12.6,,,
AB000046,ANVILBLOCK,5X4,CB830_Bond,4999000,5000000,FR5205,3,UTL1,TRUE,PE UTL1,PE ULT1,03:06.9,01:58.3,,,
